"APTSBREAK1ENDDATE__C","APTSBREAK1NUMBEROFWEEKS__C","APTSBREAK1STARTDATE__C","APTSBREAK2ENDDATE__C","APTSBREAK2NUMBEROFWEEKS__C","APTSBREAK2STARTDATE__C","APTSBREAK3ENDDATE__C","APTSBREAK3NUMBEROFWEEKS__C","APTSBREAK3STARTDATE__C","COURSE__C","APTSCOURSENUMBEROFWEEKS__C","DATEOFBIRTHFROM__C","DATEOFBIRTHTO__C","DESTINATION__C","APTSENDDATE__C","IS_BEGINNER__C","IS_PREFERRED__C","NAME","PREFERRED__C","PROGRAM__C","STARTDATE__C","START_DATE_CONVERTED__C","APTSTERM1ENDDATE__C","APTSTERM1NUMBEROFWEEKS__C","APTSTERM1STARTDATE__C","APTSTERM2ENDDATE__C","APTSTERM2NUMBEROFWEEKS__C","APTSTERM2STARTDATE__C","APTSTERM3ENDDATE__C","APTSTERM3NUMBEROFWEEKS__C","APTSTERM3STARTDATE__C","APTSTERM4ENDDATE__C","APTSTERM4NUMBEROFWEEKS__C","APTSTERM4STARTDATE__C"
"","","","","","","","","","I","","","","US-BOI","","false","false","August","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILS","2018-08-06","6/8/2018","","","","","","","","","","","",""
"","","","","","","","","","B","","","","NZ-AUC","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","AU-BRS","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","US-SFD","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"2018-09-03","23.0","2018-03-24","2018-06-17","-16.0","2018-10-05","","","","YE01G","34.0","","","NZ-AUC","2019-08-30","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","AY","2019-01-07","7/1/2019","2018-03-23","-23.0","2018-08-31","2018-09-05","-4.0","2018-10-03","2018-01-08","-23.0","2018-06-18","","",""
"2018-09-03","23.0","2018-03-24","2018-06-17","-16.0","2018-10-05","","","","YE01I","34.0","","","NZ-AUC","2019-08-30","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","AY","2019-01-07","7/1/2019","2018-03-23","-23.0","2018-08-31","2018-09-05","-4.0","2018-10-03","2018-01-08","-23.0","2018-06-18","","",""
"2018-09-03","23.0","2018-03-24","","","","","","","SE01G","22.0","","","AU-BRS","2019-06-07","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","AY","2019-01-07","7/1/2019","2018-03-23","-23.0","2018-08-31","2018-09-05","-4.0","2018-10-03","","","","","",""
"","","","","","","","","","I","","","","AU-BRS","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","AY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","GB-BOU","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","GB-LON","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","AU-BRS","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"2018-09-03","23.0","2018-03-24","2018-06-17","-16.0","2018-10-05","","","","YE01I","22.0","","","AU-BRS","2019-06-07","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","AY","2019-01-07","7/1/2019","2018-03-23","-23.0","2018-08-31","2018-09-05","-4.0","2018-10-03","2018-01-08","-23.0","2018-06-18","","",""
"2018-09-03","23.0","2018-03-24","","","","","","","SE01I","22.0","","","AU-BRS","2019-06-07","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","AY","2019-01-07","7/1/2019","2018-03-23","-23.0","2018-08-31","2018-09-05","-4.0","2018-10-03","","","","","",""
"2018-09-03","23.0","2018-03-24","","","","","","","SE01I","22.0","","","GB-CAM","2019-06-07","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","AY","2019-01-07","7/1/2019","2018-03-23","-23.0","2018-08-31","2018-09-05","-4.0","2018-10-03","","","","","",""
"","","","","","","","","","I","","","","GB-BOU","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","US-BOI","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","GB-LON","","true","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","GB-CAM","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2019-03-18","18/3/2019","","","","","","","","","","","",""
"","","","","","","","","","G","","","","GB-LON","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-03-05","5/3/2018","","","","","","","","","","","",""
"","","","","","","","","","BL","","","","US-SDC","","true","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","E","","","","US-NYC","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-03-05","5/3/2018","","","","","","","","","","","",""
"","","","","","","","","","B","","","","US-HNL","","false","true","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgj"" alt=""greendot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","GB-BRI","","true","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-03-05","5/3/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","GB-CAM","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","E","","","","GB-OXF","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-03-19","19/3/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","ES-MAA","","true","true","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgj"" alt=""greendot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","ES-MAD","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-03-19","19/3/2018","","","","","","","","","","","",""
"","","","","","","","","","E","","","","ES-BAR","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","FR-PAR","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-03-19","19/3/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","FR-PAR","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","FR-NIC","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-03-19","19/3/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","IT-ROM","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","E","","","","MT-MSJ","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-03-19","19/3/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","MT-MSJ","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","US-CHI","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-03-19","19/3/2018","","","","","","","","","","","",""
"","","","","","","","","","E","","","","NZ-AUC","","true","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","AU-SYD","","true","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-03-19","19/3/2018","","","","","","","","","","","",""
"","","","","","","","","","BL","","","","AU-SYD","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","AU-PER","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-03-19","19/3/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","ZA-CAP","","false","true","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgj"" alt=""greendot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","E","","","","US-SEA","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-03-19","19/3/2018","","","","","","","","","","","",""
"","","","","","","","","","E","","","","US-SFD","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","2018-01-29","29/1/2018","","","","","","","","","","","",""
